Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
Otto Bock HealthCare,4000000000,6/24/2017,Health,Duderstadt,Germany,Europe,1919,0,EQT Partners
Zapier,4000000000,1/14/2021,Internet software & services,Sunnyvale,United States,North America,2011,1000000,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
Workhuman,1000000000,6/23/2020,Internet software & services,Dublin,Ireland,Europe,1999,9000000,ICG
Manner,1000000000,12/24/2020,Other,Shanghai,China,Asia,2015,10000000,"Coatue Management, H Capital, Capital Today"
GalaxySpace,1000000000,11/17/2020,Mobile & telecommunications,Beijing,China,Asia,2016,14000000,"Shunwei Capital Partners, 5Y Capital, Legend Capital"
Revolution Precrafted,1000000000,10/23/2017,Other,Manila,Philippines,Asia,2015,15000000,"K2 Global, 500 Startups"
Injective Protocol,1000000000,4/20/2021,Fintech,New York,United States,North America,2018,17000000,"Pantera Capital, Cadenza Ventures, BlockTower Capital"
CFGI,2000000000,9/15/2021,Fintech,Boston,United States,North America,2000,19000000,"The Carlyle Group, CVC Capital Partners"
Il Makiage,2000000000,1/10/2022,E-commerce & direct-to-consumer,New York,United States,North America,2018,29000000,"L Catterton, Franklin Templeton, First Light Capital Group"
L&P Cosmetic,1000000000,1/1/2016,Consumer & retail,Seoul,South Korea,Asia,2009,33000000,CDIB Capital
Shulan Health,1000000000,3/1/2021,Health,Hangzhou,China,Asia,2015,43000000,Qiming Venture Partners
Boba,2000000000,4/5/2022,Fintech,San Francisco,United States,North America,2018,45000000,"DeFi Technologies, Hypersphere Ventures, M13"
Nexii,1000000000,9/8/2021,Other,Vancouver,Canada,North America,2020,45000000,"Trane Technologies, Honeywell"
Gauntlet Networks,1000000000,3/7/2022,Fintech,New York,United States,North America,2018,45000000,"Polychain Capital, Paradigm, Ribbit Capital"
PandaDoc,1000000000,9/22/2021,Internet software & services,San Francisco,United States,North America,2016,51000000,"Rembrandt Venture Partners, M12, Altos Ventures"
Tresata,1000000000,10/10/2018,Fintech,Charlotte,United States,North America,2011,51000000,GCP Capital Partners
LinkSure Network,1000000000,1/1/2015,Mobile & telecommunications,Shanghai,China,Asia,2013,52000000,N/A
Nxin,1000000000,9/18/2018,Internet software & services,Beijing,China,Asia,2015,53000000,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
Upstox,3000000000,11/29/2021,Fintech,Mumbai,India,Asia,2010,54000000,"Tiger Global Management, Kalaari Capital"
Pat McGrath Labs,1000000000,7/16/2018,Consumer & retail,New York,United States,North America,2016,60000000,"One Luxury Group, Eurazeo"
Aprogen,1000000000,5/31/2019,Health,Seongnam-Si,South Korea,Asia,2000,62000000,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
Quizlet,1000000000,5/13/2020,Edtech,San Francisco,United States,North America,2005,62000000,"Union Square Ventures, Altos Ventures, Costanoa Ventures"
Axelar,1000000000,2/15/2022,Internet software & services,Waterloo,Canada,North America,2020,64000000,"Lemniscap VC, North Island Ventures, Polychain Capital"
GPclub,1000000000,10/22/2018,Other,Seoul,South Korea,Asia,2003,67000000,Goldman Sachs
Watershed,1000000000,2/8/2022,Internet software & services,San Francisco,United States,North America,2019,70000000,"Kleiner Perkins Caufield & Byers, Sequoia Capital"
Dunamu,9000000000,7/22/2021,Fintech,Seoul,South Korea,Asia,2012,71000000,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
Ximalaya FM,2000000000,9/22/2017,Mobile & telecommunications,Shanghai,China,Asia,2012,71000000,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
Games24x7,3000000000,3/30/2022,Internet software & services,Mumbai,India,Asia,2006,75000000,"Tiger Global Management, The Raine Group, Malabar Investments"
